局数,龙,和,虎,赢,下注(龙),下注(虎)
1,36300,0,1000,虎,0,0
2,1000,0,2100,虎,0,0
3,3100,0,1000,虎,0,0
4,101000,0,2100,龙,0,0
5,2500,0,2600,龙,0,0
6,2000,0,34100,虎,0,0
7,28700,0,2000,虎,0,0
8,40000,100,1900,虎,0,0
9,41000,0,1500,龙,0,0
10,30800,0,1000,虎,0,0
11,102300,0,2000,龙,0,0
12,1000,0,103200,虎,0,0
13,16400,0,3900,龙,0,0
14,3000,0,28600,虎,0,0
15,27800,0,1000,虎,0,0
16,1800,0,3300,和,0,0
17,12700,0,12500,和,0,0
18,71500,0,3300,虎,0,0
19,61300,0,3000,龙,0,0
20,31500,0,14700,虎,0,0
21,41800,0,26400,虎,0,0
22,16900,0,4000,龙,0,0
23,1500,0,3400,虎,0,0
24,2900,0,4700,虎,0,0
25,1100,0,4000,龙,0,0
26,3300,0,13500,虎,0,0
27,1500,0,5400,虎,0,0
28,13300,0,4000,虎,0,0
29,1900,0,8000,龙,0,0
30,2100,0,19600,虎,0,0
31,12800,0,7300,虎,0,0
32,1100,0,26100,虎,0,0
33,1300,0,22700,龙,0,0
34,1100,0,150400,龙,0,0
35,35200,0,1200,龙,0,0
36,19100,0,1400,龙,0,0
37,11300,0,1000,龙,0,0
38,11100,2000,11300,虎,0,0
39,21200,0,11000,虎,0,0
40,1200,0,7400,龙,0,0
41,14400,0,11100,龙,0,0
42,20200,0,10700,虎,0,0
43,10100,0,15400,虎,0,0
44,21200,0,9000,虎,0,0
45,37000,0,0,和,0,0
46,21000,100,10100,龙,0,0
47,10700,0,20200,虎,0,0
48,10600,0,21700,龙,0,0
49,3300,0,11000,和,0,0
50,3800,0,4300,龙,0,0
51,4500,0,22300,龙,0,0
52,25100,0,31600,龙,0,0
53,3200,0,41400,虎,0,0
54,15200,0,100,虎,0,0
55,21300,0,6100,虎,0,0
56,1800,0,9000,虎,0,0
57,49500,0,0,龙,0,0
58,9900,1200,11800,虎,0,0
59,16700,0,12500,虎,0,0
60,20400,1000,26600,龙,0,0
61,1800,0,15100,龙,0,0
62,0,0,20100,虎,0,0
63,11000,0,10300,龙,0,0
