局数,龙,和,虎,赢,下注(龙),下注(虎)
1,17100,1000,31100,虎,6000,0
2,11100,100,22100,和,0,0
3,10600,0,13300,龙,0,0
4,11500,0,12300,虎,0,0
5,24800,0,14200,龙,0,4000
6,13300,0,23300,虎,0,0
7,60100,0,28200,虎,0,18000
8,20100,0,10200,虎,0,0
9,40300,0,13100,龙,0,6000
10,29900,1100,70200,虎,18000,0
11,30200,0,26200,虎,0,12000
12,48500,400,24700,龙,0,6000
13,17600,1400,10600,虎,5000,0
14,42100,100,22400,龙,0,12000
15,14200,1100,10300,龙,4000,0
16,20200,0,11400,虎,0,0
17,19700,2200,12000,虎,0,0
18,17000,1000,13000,虎,1000,1000
19,16000,2000,12000,虎,0,0
20,39000,1000,16000,虎,0,3000
21,18000,2000,24000,龙,0,0
22,23000,1000,33000,虎,0,0
23,29000,1200,41500,龙,12000,0
24,29700,2000,51000,龙,0,0
25,37900,0,41500,虎,0,0
26,21000,3000,31600,虎,0,0
27,35900,1700,31000,龙,0,0
