局数,龙,和,虎,赢
1,3100,10100,1000,龙
2,1000,100,2900,虎
3,4800,100,3200,龙
4,1000,100,1000,虎
5,1300,100,1000,龙
6,1000,0,1700,虎
7,2400,0,1000,虎
8,1000,500,1200,虎
9,1000,0,2400,龙
10,1000,0,1000,龙
11,1000,0,2400,龙
12,1000,0,1000,和
13,1000,0,1000,和
14,1000,0,1000,龙
15,1300,0,1200,龙
16,1600,0,1600,龙
17,1000,0,1000,虎
18,1100,0,1000,虎
19,3600,0,1000,虎
20,5600,0,1000,龙
21,1400,1000,2000,龙
22,1000,1000,1000,虎
23,2200,0,2000,虎
24,1000,0,2000,虎
25,1900,0,1000,龙
26,2500,0,1800,龙
27,1000,0,4000,虎
28,2000,0,304900,龙
29,3200,0,301900,虎
30,1000,0,1300,虎
31,1000,0,3000,虎
32,2000,0,1000,虎
33,1000,0,2000,虎
34,4200,0,1000,虎
35,8600,0,1000,龙
36,144400,0,1000,和
37,18,0,1000,龙
38,197300,0,1000,龙
39,2800,0,145800,龙
40,2100,0,306200,龙
41,3000,0,456000,龙
42,4800,100,1412100,龙
43,5000,0,2001000,龙
44,2100,0,1000,虎
45,2000,0,1002000,和
46,6001700,0,7000,和
47,2600,0,4200,龙
48,5582300,0,1600,龙
49,1100,0,3500,虎
50,2000,100,1100,虎
51,506100,0,11800,虎
52,504400,0,13400,龙
53,502100,4100,1200,虎
54,1300,6700,3200,龙
55,501100,20100,2100,龙
56,1100,30000,2300,虎
57,1500,1200,2700,虎
58,1100,1600,1200,虎
59,1300,100,4681200,和
60,1200,0,2441600,虎
61,2200,0,2445100,龙
62,1700,100,1300,虎
63,3100,100,503200,虎
64,3100,200,501300,和
65,261400,300,2200,龙
66,2700,200,1200,龙
67,1800,0,402500,龙
68,10003900,0,2200,虎
69,2300,300,3200,龙
70,1500,0,3900,虎
71,4900,400,3100,虎
