局数,龙,和,虎,赢,下注(龙),下注(虎)
1,10100,100,13400,虎,8000,0
2,1800,0,3200,龙,0,0
3,2900,0,3500,虎,0,0
4,5200,0,2200,和,0,0
5,5200,200,3300,虎,0,0
6,29300,0,10800,和,4000,2000
7,31700,0,13700,龙,0,12000
8,7028800,1000,8100,虎,0,6000
9,22600,1000,12400,龙,0,10000
10,63000,1000,13000,龙,0,12000
11,10200,1200,7000,虎,0,4000
12,9200,200,7000,和,0,6000
13,4800,0,2000,虎,0,1000
14,23200,0,9000,龙,0,6000
15,44100,0,8000,虎,0,6000
16,1000,0,1000,虎,0,0
17,1000,0,1000,龙,0,0
18,1100,0,1000,虎,0,0
19,1300,0,1000,虎,0,0
20,1100,0,1000,和,0,0
21,1400,0,1900,虎,0,0
22,2600,100,3500,龙,0,0
23,5100,0,2300,龙,0,1000
24,2600,0,1700,龙,0,0
25,6310000,300,7600,龙,0,6000
26,8600,0,5100,虎,0,0
27,4900,0,2200,和,0,0
28,2800,0,5800,龙,1000,0
29,5900,0,3200,虎,0,1000
30,1000,0,3500,虎,0,0
31,3300,0,1600,虎,0,0
32,3800,200,3000,龙,0,0
33,2200,1000,4100,虎,0,0
34,1000,0,1000,虎,0,0
35,4500,0,3100,龙,0,2000
36,1300,1100,1000,虎,0,0
37,1100,1500,1000,虎,0,0
38,6900,0,6200,虎,0,5000
39,5002800,0,4300,虎,1000,0
40,11911000,0,13800,和,0,6000
41,3001100,0,10200,龙,0,6000
42,1000,200,2800,龙,0,0
43,1600,0,1000,龙,0,0
44,1000,0,1900,龙,0,0
45,1100,0,1000,龙,0,0
46,1600,0,2300,龙,0,0
47,1000,0,2700,龙,0,0
48,4201000,400,3000,虎,0,6000
49,1000,600,6000,虎,0,0
50,1000,0,11200,虎,0,0
51,7000,0,21000,龙,6000,0
52,1000,0,1400,虎,0,0
53,1300,0,1700,虎,0,0
54,2500,0,1600,虎,0,0
55,3300,0,1200,虎,0,0
56,2000,0,1500,虎,0,0
57,2100,800,2900,龙,0,0
58,11500,0,7000,龙,0,5000
59,3000,0,2000,龙,0,0
60,5000,0,5600,虎,3000,0
61,5400,0,3000,虎,0,2000
62,30900,0,7000,虎,0,6000
63,2600,0,1000,龙,0,0
64,2000,100,3900,龙,1000,0
65,1100,0,1100,虎,0,0
66,1100,100,1400,龙,0,0
67,1100,0,2200,虎,0,0
68,1300,0,1600,龙,0,0
69,1100,0,1000,龙,0,0
70,1200,1000,1000,龙,0,0
71,15000,1000,8400,虎,0,7000
72,40100,1000,20300,龙,0,19000
73,8200,1000,4600,龙,0,3000
74,10600,1000,6300,虎,0,4000
75,5000,0,5200,虎,4000,0
76,4000,200,3600,虎,3000,0
77,6900,200,4300,龙,0,1000
78,61000,500,21000,龙,0,18000
79,9100,200,22800,龙,6000,0
80,7200,7500,105000,龙,6000,0
81,2700,1300,106000,和,0,0
82,26300,9900,60400,龙,24000,0
83,17100,100,219000,虎,6000,6000
84,13200,200,5200,龙,2000,0
85,15700,100,14100,龙,14000,0
86,42000,100,9500,虎,0,6000
87,4100,0,1800,龙,0,0
88,93100,0,7100,龙,0,6000
89,5000,0,3000,虎,0,1000
90,178500,1000,88500,龙,0,24000
91,102100,2400,25700,龙,0,24000
92,14100,1200,101000,龙,12000,0
93,26000,1100,338700,龙,24000,0
94,4000,2400,2500,龙,0,0
95,13200,1200,7600,虎,0,4000
96,26000,12400,17700,龙,0,11000
97,6500,7400,3900,龙,0,0
98,6600,2300,4000,龙,0,0
99,39000,2000,24800,虎,0,18000
100,13200,1100,12300,虎,0,0
101,11100,100,10300,虎,0,0
102,15000,1100,6800,虎,0,2000
103,50939200,3400,46900,虎,0,24000
104,11500,230000,16300,龙,0,5000
105,9000,400,9200,虎,0,3000
106,2400,2000,2700,虎,0,0
107,2700,900,3400,龙,0,0
108,4000,0,3500,虎,0,1000
109,39100,0,4500,虎,0,6000
110,8900,0,11800,虎,6000,0
111,5100,0,8300,龙,2000,0
112,29800,0,68300,龙,24000,0
113,1900,0,3100,和,0,0
114,3600,0,3300,龙,0,0
115,5200,600,4900,龙,0,0
116,3000,0,5600,龙,1000,0
117,5000,200,8000,虎,0,0
